Date,SCHD,JEPQ,JEPI,TLT,SHY,SGOV,QQQ,SPY,VYM,HDV,DVY,NOBL,DHS,SPYD,QYLD,RYLD,XYLD,PFFD
2013-12-24,,,,,,,,,,,,0.134,0.193,,,,,
2013-12-26,,,,0.335,0.021,,,,,,,,,,,,0.758,
2014-01-22,,,,,,,,,,,,,,,0.257,,,
2014-01-23,,,,,,,,,,,,,,,,,0.019,
2014-01-27,,,,,,,,,,,,,0.14,,,,,
2014-02-03,,,,0.276,0.023,,,,,,,,,,,,,
2014-02-24,,,,,,,,,,,,,0.135,,,,,
2014-02-26,,,,,,,,,,,,,,,0.193,,0.135,
2014-02-27,,,,,,,0.373,,,,,,,,,,,
2014-03-03,,,,0.263,0.018,,,,,,,,,,,,,
2014-03-21,,,,,,,0.206,0.825,,,,,,,,,,
2014-03-24,0.082667,,,,,,,,0.401,,,,0.135,,,,,
2014-03-25,,,,,,,,,,0.566,0.604,,,,,,,
2014-03-26,,,,,,,,,,,,0.18,,,0.193,,0.046,
2014-04-01,,,,0.28,0.021,,,,,,,,,,,,,
2014-04-21,,,,,,,,,,,,,0.135,,,,,
2014-04-23,,,,,,,,,,,,,,,0.263,,0.033,
2014-05-01,,,,0.269,0.021,,,,,,,,,,,,,
2014-05-21,,,,,,,,,,,,,,,0.245,,,
2014-05-22,,,,,,,,,,,,,,,,,0.08,
2014-05-23,,,,,,,,,,,,,0.13,,,,,
2014-06-02,,,,0.294,0.023,,,,,,,,,,,,,
2014-06-20,,,,,,,0.249,0.937,,,,,,,,,,
2014-06-23,0.089667,,,,,,,,0.476,,,,0.15,,,,,
2014-06-24,,,,,,,,,,0.593,0.595,,,,,,,
2014-06-25,,,,,,,,,,,,0.166,,,0.213,,0.052,
2014-07-01,,,,0.292,0.025,,,,,,,,,,,,,
2014-07-21,,,,,,,,,,,,,0.139,,,,,
2014-07-23,,,,,,,,,,,,,,,0.209,,0.036,
2014-08-01,,,,0.3,0.027,,,,,,,,,,,,,
2014-08-20,,,,,,,,,,,,,,,0.222,,,
2014-08-21,,,,,,,,,,,,,,,,,0.205,
2014-08-25,,,,,,,,,,,,,0.15,,,,,
2014-09-02,,,,0.271,0.028,,,,,,,,,,,,,
2014-09-19,,,,,,,0.238,0.939,,,,,,,,,,
2014-09-22,0.084667,,,,,,,,0.469,,,,0.144,,,,,
2014-09-24,,,,,,,,,,0.626,0.587,0.215,,,0.195,,0.171,
2014-10-01,,,,0.289,0.03,,,,,,,,,,,,,
2014-10-22,,,,,,,,,,,,,,,0.241,,,
2014-10-23,,,,,,,,,,,,,,,,,0.25,
2014-10-27,,,,,,,,,,,,,0.171,,,,,
2014-11-03,,,,0.29,0.029,,,,,,,,,,,,,
2014-11-21,,,,,,,,,,,,,0.159,,,,,
2014-11-26,,,,,,,,,,,,,,,,,0.183,
2014-12-01,,,,0.277,0.029,,,,,,,,,,,,,
2014-12-18,,,,,,,,,0.562,,,,,,,,,
2014-12-19,,,,,,,0.387,1.135,,,,,0.204,,,,,
2014-12-22,0.091667,,,,,,,,,,,0.239,,,,,,
2014-12-24,,,,0.261,0.033,,,,,0.665,0.62,,,,0.144,,0.684,
2015-01-21,,,,,,,,,,,,,,,0.23,,,
2015-01-22,,,,,,,,,,,,,,,,,0.194,
2015-01-26,,,,,,,,,,,,,0.109,,,,,
2015-02-02,,,,0.279,0.033,,,,,,,,,,,,,
2015-02-23,,,,,,,,,,,,,0.181,,,,,
2015-02-25,,,,,,,,,,,,,,,,,0.067,
2015-03-02,,,,0.252,0.031,,,,,,,,,,,,,
2015-03-20,,,,,,,0.248,0.931,,,,,,,,,,
2015-03-23,,,,,,,,,0.462,,,,0.137,,,,,
2015-03-25,,,,,,,,,,0.717,0.598,0.198,,,0.16,,0.069,
2015-04-01,,,,0.273,0.037,,,,,,,,,,,,,
2015-04-20,,,,,,,,,,,,,0.17,,,,,
2015-04-22,,,,,,,,,,,,,,,0.153,,0.131,
2015-05-01,,,,0.258,0.035,,,,,,,,,,,,,
2015-05-20,,,,,,,,,,,,,,,0.169,,0.071,
2015-05-22,,,,,,,,,,,,,0.181,,,,,
2015-06-01,,,,0.264,0.037,,,,,,,,,,,,,
2015-06-19,,,,,,,0.254,1.03,,,,,,,,,,
2015-06-22,0.102,,,,,,,,,,,,0.165,,,,,
2015-06-24,,,,,,,,,,0.725,0.646,0.258,,,0.15,,0.189,
2015-06-26,,,,,,,,,0.56,,,,,,,,,
2015-07-01,,,,0.258,0.038,,,,,,,,,,,,,
2015-07-22,,,,,,,,,,,,,,,0.152,,0.058,
2015-08-03,,,,0.267,0.038,,,,,,,,,,,,,
2015-08-24,,,,,,,,,,,,,0.162,,,,,
2015-08-26,,,,,,,,,,,,,,,0.204,,0.37,
2015-09-01,,,,0.263,0.04,,,,,,,,,,,,,
2015-09-18,,,,,,,0.26,1.033,,,,,,,,,,
2015-09-21,0.099667,,,,,,,,,,,,0.175,,,,,
2015-09-23,,,,,,,,,0.528,,,0.248,,,0.222,,0.396,
2015-09-25,,,,,,,,,,0.722,0.652,,,,,,,
2015-10-01,,,,0.256,0.04,,,,,,,,,,,,,
2015-10-21,,,,,,,,,,,,,,,0.214,,0.04,
2015-10-26,,,,,,,,,,,,,0.215,,,,,
2015-11-02,,,,0.267,0.041,,,,,,,,,,,,,
2015-11-23,,,,,,,,,,,,,0.16,,,,,
2015-11-25,,,,,,,,,,,,,,,0.181,,0.085,
2015-12-01,,,,0.257,0.041,,,,,,,,,,,,,
2015-12-18,,,,,,,0.342,1.212,,,,,,0.331,,,,
2015-12-21,,,,,,,,,0.599,,,,0.228,,,,,
2015-12-22,,,,,,,,,,,,0.291,,,,,,
2015-12-23,,,,,,,,,,,,,,,0.215,,0.366,
2015-12-24,,,,0.254,0.043,,,,,0.716,0.693,,,,,,,
2016-01-21,,,,,,,,,,,,,,,,,0.335,
2016-01-25,,,,,,,,,,,,,0.14,,,,,
2016-02-01,,,,0.241,0.045,,,,,,,,,,,,,
2016-02-22,,,,,,,,,,,,,0.135,,,,,
2016-02-24,,,,,,,,,,,,,,,0.22,,0.08,
2016-03-01,,,,0.248,0.047,,,,,,,,,,,,,
2016-03-15,,,,,,,,,0.478,,,,,,,,,
2016-03-18,,,,,,,0.318,1.05,,,,,,0.277,,,,
2016-03-21,0.099333,,,,,,,,,,,,0.122,,,,,
2016-03-23,,,,,,,,,,0.677,0.63,0.206,,,,,0.074,
2016-04-01,,,,0.27,0.051,,,,,,,,,,,,,
2016-04-20,,,,,,,,,,,,,,,0.156,,0.017,
2016-04-25,,,,,,,,,,,,,0.236,,,,,
2016-05-02,,,,0.26,0.049,,,,,,,,,,,,,
2016-05-23,,,,,,,,,,,,,0.16,,,,,
2016-05-25,,,,,,,,,,,,,,,0.171,,0.267,
2016-06-01,,,,0.267,0.051,,,,,,,,,,,,,
2016-06-17,,,,,,,0.287,1.078,,,,,,0.326,,,,
2016-06-20,0.105667,,,,,,,,,,,,0.14,,,,,
2016-06-21,,,,,,,,,0.578,0.679,0.675,,,,,,,
2016-06-22,,,,,,,,,,,,0.247,,,0.202,,0.091,
2016-07-01,,,,0.255,0.05,,,,,,,,,,,,,
2016-07-20,,,,,,,,,,,,,,,0.141,,0.032,
2016-07-25,,,,,,,,,,,,,0.23,,,,,
2016-08-01,,,,0.258,0.051,,,,,,,,,,,,,
2016-08-22,,,,,,,,,,,,,0.185,,,,,
2016-08-24,,,,,,,,,,,,,,,0.13,,0.076,
2016-09-01,,,,0.254,0.05,,,,,,,,,,,,,
2016-09-13,,,,,,,,,0.483,,,,,,,,,
2016-09-16,,,,,,,0.294,1.082,,,,,,0.326,,,,
2016-09-19,0.081333,,,,,,,,,,,,,,,,,
2016-09-21,,,,,,,,,,,,0.273,,,0.194,,0.198,
2016-09-26,,,,,,,,,,0.688,0.693,,0.215,,,,,
2016-10-03,,,,0.247,0.049,,,,,,,,,,,,,
2016-10-24,,,,,,,,,,,,,0.185,,,,,
2016-10-26,,,,,,,,,,,,,,,0.149,,0.176,
2016-11-01,,,,0.25,0.051,,,,,,,,,,,,,
2016-11-21,,,,,,,,,,,,,0.185,,,,,
2016-11-23,,,,,,,,,,,,,,,0.162,,0.077,
2016-12-01,,,,0.243,0.05,,,,,,,,,,,,,
2016-12-16,,,,,,,0.355,1.329,,,,,,0.585,,,,
2016-12-21,,,,,,,,,,0.656,0.697,0.424,,,0.146,,0.05,
2016-12-22,,,,0.309,0.061,,,,0.667,,,,,,,,,
2016-12-23,,,,,,,,,,,,,0.253,,,,,
2017-01-23,,,,,,,,,,,,,0.115,,,,,
2017-01-25,,,,,,,,,,,,,,,0.128,,0.227,
2017-02-01,,,,0.259,0.051,,,,,,,,,,,,,
2017-02-17,,,,,,,,,,,,,0.15,,,,,
2017-02-22,,,,,,,,,,,,,,,0.1,,,
2017-02-23,,,,,,,,,,,,,,,,,0.06,
2017-03-01,,,,0.234,0.054,,,,,,,,,,,,,
2017-03-17,,,,,,,0.274,1.033,,,,,,0.318,,,,
2017-03-22,,,,,,,,,0.56,,,0.194,,,0.123,,0.061,
2017-03-24,,,,,,,,,,0.723,0.701,,,,,,,
2017-03-27,,,,,,,,,,,,,0.245,,,,,
2017-04-03,,,,0.255,0.058,,,,,,,,,,,,,
2017-04-24,,,,,,,,,,,,,0.09,,,,,
2017-04-26,,,,,,,,,,,,,,,0.145,,0.223,
2017-05-01,,,,0.255,0.062,,,,,,,,,,,,,
2017-05-22,,,,,,,,,,,,,0.145,,,,,
2017-05-24,,,,,,,,,,,,,,,0.126,,0.077,
2017-06-01,,,,0.263,0.064,,,,,,,,,,,,,
2017-06-16,,,,,,,0.378,1.183,,,,,,0.343,,,,
2017-06-21,,,,,,,,,,,,0.215,,,0.221,,0.054,
2017-06-23,,,,,,,,,0.596,,,,,,,,,
2017-06-26,,,,,,,,,,,,,0.245,,,,,
2017-06-27,,,,,,,,,,0.718,0.729,,,,,,,
2017-07-03,,,,0.258,0.067,,,,,,,,,,,,,
2017-07-24,,,,,,,,,,,,,0.18,,,,,
2017-07-26,,,,,,,,,,,,,,,0.159,,0.054,
2017-08-01,,,,0.269,0.071,,,,,,,,,,,,,
2017-08-21,,,,,,,,,,,,,0.175,,,,,
2017-08-23,,,,,,,,,,,,,,,0.203,,0.247,
2017-09-01,,,,0.263,0.072,,,,,,,,,,,,,
2017-09-15,,,,,,,,1.235,,,,,,0.363,,,,
2017-09-18,,,,,,,0.319,,,,,,,,,,,
2017-09-20,,,,,,,,,0.602,,,,,,0.154,,0.06,
2017-09-26,,,,,,,,,,0.732,0.728,,0.24,,,,,
2017-09-27,,,,,,,,,,,,0.333,,,,,,
2017-10-02,,,,0.252,0.073,,,,,,,,,,,,,0.118
2017-10-24,,,,,,,,,,,,,0.18,,,,,
2017-10-25,,,,,,,,,,,,,,,,,0.037,
2017-11-01,,,,0.263,0.078,,,,,,,,,,,,,
2017-11-21,,,,,,,,,,,,,0.115,,,,,
2017-11-22,,,,,,,,,,,,,,,0.132,,0.067,
2017-12-01,,,,0.255,0.079,,,,,,,,,,,,,0.118
2017-12-15,,,,,,,,1.351,,,,,,0.712,,,,
2017-12-18,,,,,,,0.329,,,,,,,,,,,
2017-12-19,,,,,,,,,,0.776,0.798,,,,,,,
2017-12-20,,,,,,,,,,,,,,,0.247,,1.435,
2017-12-21,,,,0.262,0.094,,,,0.643,,,,,,,,,
2017-12-26,,,,,,,,,,,,0.372,0.304,,,,,
2017-12-28,,,,,,,,,,,,,,,,,,0.128
2018-01-23,,,,,,,,,,,,,0.115,,,,,
2018-01-24,,,,,,,,,,,,,,,0.25,,0.259,
2018-02-01,,,,0.255,0.086,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,0.118
2018-02-20,,,,,,,,,,,,,0.09,,,,,
2018-02-21,,,,,,,,,,,,,,,0.249,,0.25,
2018-03-01,,,,0.239,0.086,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,,,0.118
2018-03-16,,,,,,,,1.097,,,,,,0.349,,,,
2018-03-19,,,,,,,0.277,,,,,,,,,,,
2018-03-20,,,,,,,,,,,,,0.357,,,,,
2018-03-21,,,,,,,,,,,,0.242,,,0.249,,0.249,
2018-03-22,,,,,,,,,,0.799,0.781,,,,,,,
2018-03-26,,,,,,,,,0.608,,,,,,,,,
2018-04-02,,,,0.26,0.094,,,,,,,,,,,,,
2018-04-04,,,,,,,,,,,,,,,,,,0.118
2018-04-24,,,,,,,,,,,,,0.11,,,,,
2018-04-25,,,,,,,,,,,,,,,0.234,,0.245,
2018-05-01,,,,0.262,0.103,,,,,,,,,,,,,
2018-05-03,,,,,,,,,,,,,,,,,,0.118
2018-05-22,,,,,,,,,,,,,0.125,,,,,
2018-05-23,,,,,,,,,,,,,,,0.216,,0.251,
2018-06-01,,,,0.281,0.126,,,,,,,,,,,,,
2018-06-05,,,,,,,,,,,,,,,,,,0.118
2018-06-15,,,,,,,,1.246,,,,,,0.376,,,,
2018-06-18,,,,,,,0.378,,,,,,,,,,,
2018-06-20,,,,,,,,,,,,0.426,,,0.2,,0.254,
2018-06-22,,,,,,,,,0.63,,,,,,,,,
2018-06-25,,,,,,,,,,,,,0.27,,,,,
2018-06-26,0.135333,,,,,,,,,0.796,0.802,,,,,,,
2018-07-02,,,,0.275,0.13,,,,,,,,,,,,,
2018-07-05,,,,,,,,,,,,,,,,,,0.117
2018-07-24,,,,,,,,,,,,,0.28,,,,,
2018-07-25,,,,,,,,,,,,,,,0.181,,0.256,
2018-08-01,,,,0.267,0.138,,,,,,,,,,,,,
2018-08-03,,,,,,,,,,,,,,,,,,0.117
2018-08-21,,,,,,,,,,,,,0.14,,,,,
2018-08-22,,,,,,,,,,,,,,,0.226,,0.26,
2018-09-04,,,,0.272,0.131,,,,,,,,,,,,,
2018-09-06,,,,,,,,,,,,,,,,,,0.117
2018-09-21,,,,,,,,1.323,,,,,,0.451,,,,
2018-09-24,,,,,,,0.33,,,,,,,,,,,
2018-09-25,0.122333,,,,,,,,,,,,0.33,,,,,
2018-09-26,,,,,,,,,0.672,0.791,0.859,0.347,,,0.201,,0.262,
2018-10-01,,,,0.261,0.137,,,,,,,,,,,,,
2018-10-03,,,,,,,,,,,,,,,,,,0.117
2018-10-23,,,,,,,,,,,,,0.185,,,,,
2018-10-24,,,,,,,,,,,,,,,0.247,,0.247,
2018-11-01,,,,0.275,0.146,,,,,,,,,,,,,
2018-11-05,,,,,,,,,,,,,,,,,,0.115
2018-11-20,,,,,,,,,,,,,0.145,,,,,
2018-11-21,,,,,,,,,,,,,,,0.225,,0.233,
2018-12-03,,,,0.267,0.142,,,,,,,,,,,,,
2018-12-06,,,,,,,,,,,,,,,,,,0.115
2018-12-17,,,,,,,,,,0.709,0.755,,,,,,,
2018-12-18,,,,0.282,0.119,,,,,,,,,,,,,
2018-12-21,,,,,,,,1.435,,,,,,0.443,,,,
2018-12-24,,,,,,,0.421,,0.739,,,,0.298,,,,,
2018-12-26,,,,,,,,,,,,0.42,,,,,,
2018-12-28,,,,,,,,,,,,,,,0.172,,0.388,0.115
2019-01-22,,,,,,,,,,,,,0.12,,,,,
2019-01-23,,,,,,,,,,,,,,,0.217,,0.227,
2019-02-01,,,,0.275,0.152,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,,,0.115
2019-02-19,,,,,,,,,,,,,0.135,,,,,
2019-02-20,,,,,,,,,,,,,,,0.185,,0.235,
2019-03-01,,,,0.253,0.154,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,,,0.115
2019-03-15,,,,,,,,1.233,,,,,,0.339,,,,
2019-03-18,,,,,,,0.324,,,,,,,,,,,
2019-03-20,,,,,,,,,,0.822,0.871,0.24,,,0.204,,0.239,
2019-03-25,,,,,,,,,0.652,,,,,,,,,
2019-03-26,,,,,,,,,,,,,0.25,,,,,
2019-04-01,,,,0.278,0.164,,,,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,,,,0.115
2019-04-23,,,,,,,,,,,,,0.23,,,,,
2019-04-24,,,,,,,,,,,,,,,0.179,,0.245,
2019-05-01,,,,0.259,0.156,,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,,,,,,,0.115
2019-05-22,,,,,,,,,,,,,,,0.211,0.235,0.24,
2019-05-28,,,,,,,,,,,,,0.27,,,,,
2019-06-03,,,,0.27,0.169,,,,,,,,,,,,,
2019-06-05,,,,,,,,,,,,,,,,,,0.115
2019-06-17,,,,,,,,,0.625,0.75,0.882,,,,,,,
2019-06-21,,,,,,,,1.432,,,,,,0.462,,,,
2019-06-24,,,,,,,0.416,,,,,,0.21,,,,,
2019-06-25,,,,,,,,,,,,0.386,,,,,,
2019-06-26,0.140333,,,,,,,,,,,,,,0.215,0.223,0.244,
2019-07-01,,,,0.26,0.156,,,,,,,,,,,,,
2019-07-03,,,,,,,,,,,,,,,,,,0.115
2019-07-23,,,,,,,,,,,,,0.195,,,,,
2019-07-24,,,,,,,,,,,,,,,0.171,0.137,0.251,
2019-08-01,,,,0.264,0.15,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,,,0.115
2019-08-21,,,,,,,,,,,,,,,0.227,0.251,0.242,
2019-08-27,,,,,,,,,,,,,0.28,,,,,
2019-09-03,,,,0.26,0.146,,,,,,,,,,,,,
2019-09-05,,,,,,,,,,,,,,,,,,0.114
2019-09-20,,,,,,,,1.384,,,,,,0.448,,,,
2019-09-23,,,,,,,0.384,,,,,,,,,,,
2019-09-24,,,,,,,,,0.786,0.857,0.956,,0.205,,,,,
2019-09-25,,,,,,,,,,,,0.364,,,0.175,0.212,0.243,
2019-10-01,,,,0.25,0.135,,,,,,,,,,,,,
2019-10-03,,,,,,,,,,,,,,,,,,0.114
2019-10-22,,,,,,,,,,,,,0.19,,,,,
2019-10-23,,,,,,,,,,,,,,,0.177,0.168,0.245,
2019-11-01,,,,0.246,0.14,,,,,,,,,,,,,
2019-11-05,,,,,,,,,,,,,,,,,,0.114
2019-11-20,,,,,,,,,,,,,,,0.195,0.251,0.251,
2019-11-25,,,,,,,,,,,,,0.265,,,,,
2019-12-02,,,,0.241,0.134,,,,,,,,,,,,,
2019-12-04,,,,,,,,,,,,,,,,,,0.114
2019-12-16,,,,,,,,,,0.779,0.891,,,,,,,
2019-12-19,,,,0.218,0.137,,,,,,,,,,,,,
2019-12-20,,,,,,,,1.57,,,,,,0.497,,,,
2019-12-23,,,,,,,0.458,,0.779,,,,0.482,,,,,
2019-12-24,,,,,,,,,,,,0.44,,,,,,
2019-12-30,,,,,,,,,,,,,,,0.165,0.166,0.256,0.114
2020-01-21,,,,,,,,,,,,,0.12,,0.199,0.196,0.259,
2020-02-03,,,,0.242,0.135,,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,,,,,,,0.114
2020-02-24,,,,,,,,,,,,,,,0.238,0.239,0.26,
2020-02-25,,,,,,,,,,,,,0.3,,,,,
2020-03-02,,,,0.229,0.125,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,0.114
2020-03-10,,,,,,,,,0.554,,,,,,,,,
2020-03-20,,,,,,,,1.406,,,,,,0.396,,,,
